,female,household_size,inc_10000,inc_124999,inc_14999,inc_149999,inc_19999,inc_199999,inc_200000,inc_24999,inc_29999,inc_34999,inc_39999,inc_44999,inc_49999,inc_59999,inc_74999,inc_99999,male,median_age,median_income,population,postal_code,Unnamed: 0,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
0,4452,2.1,152,453,76,447,33,623,1203,31,77,69,70,136,14,96,174,536,4233,37.9,129574,8685,10280,0,2.3,4.4,1.5,8.3,4.1,42.1,22.3,8.8,6.2,199.755,382.14,130.275,720.855,356.085,3656.385,1936.755,764.28,538.47
1,19385,2.5,1538,1192,730,783,484,695,816,812,518,677,369,720,504,1009,1274,1980,19500,34.7,56848,38885,10301,1,15.8,26.7,3.8,13.1,7.4,18.7,10.9,2.8,0.8,6143.83,10382.295,1477.63,5093.935,2877.49,7271.495,4238.465,1088.78,311.08
2,8666,2.9,717,339,300,388,208,409,240,342,351,125,271,168,109,450,528,724,8145,34.0,56841,16811,10302,2,19.1,34.3,5.7,13.8,6.2,14.1,5.0,1.2,0.7,3210.901,5766.173,958.227,2319.918,1042.282,2370.351,840.55,201.732,117.677
3,13118,3.0,1078,742,459,667,296,370,233,433,403,365,410,371,153,487,550,1069,11419,31.1,51537,24537,10303,3,17.1,33.9,3.9,12.8,9.7,14.6,7.0,0.6,0.4,4195.827,8318.043,956.943,3140.736,2380.089,3582.402,1717.59,147.222,98.148
4,23009,2.8,1404,1459,699,730,701,815,906,735,936,557,701,912,482,917,1375,1478,20075,34.8,53168,43084,10304,4,19.4,30.2,4.6,11.7,6.2,16.0,7.6,3.3,1.1,8358.296,13011.368,1981.864,5040.828,2671.208,6893.44,3274.384,1421.772,473.924
5,21764,2.8,907,1794,600,1118,768,1251,722,678,622,570,484,550,492,899,1354,2058,20242,39.9,70758,42006,10305,5,14.7,30.2,4.8,11.3,7.4,19.5,9.4,1.8,1.0,6174.882,12685.812,2016.288,4746.678,3108.444,8191.17,3948.564,756.108,420.06
6,29027,2.7,1067,2506,608,1621,1016,2194,1575,745,783,772,792,741,660,1059,1948,2439,26875,41.4,75807,55902,10306,6,9.7,32.2,5.8,14.2,8.5,17.7,8.5,2.3,1.1,5422.494,18000.444,3242.316,7938.084,4751.67,9894.654,4751.67,1285.746,614.922
7,7514,3.1,115,568,204,429,124,493,631,244,128,94,154,95,94,347,468,640,7315,37.4,86457,14829,10307,7,8.3,27.9,5.1,16.0,10.7,18.3,10.6,2.4,0.8,1230.807,4137.291,756.279,2372.64,1586.703,2713.707,1571.874,355.896,118.632
8,15075,2.8,341,1302,234,808,348,1524,833,246,342,340,289,252,280,622,1075,1584,13864,42.6,88075,28939,10308,8,8.8,37.8,5.3,13.2,7.0,16.0,10.1,1.5,0.2,2546.632,10938.942,1533.767,3819.948,2025.73,4630.24,2922.839,434.085,57.878
9,16173,3.0,502,1220,376,779,175,1274,1199,143,206,416,176,338,327,894,1037,1694,16473,38.5,86297,32646,10309,9,8.8,32.7,6.1,14.4,7.0,18.4,9.7,2.1,0.8,2872.848,10675.242,1991.406,4701.024,2285.22,6006.864,3166.662,685.566,261.168
10,12740,3.0,795,709,375,625,447,777,481,516,425,222,292,246,192,642,644,1050,12487,34.1,61925,25227,10310,10,11.8,32.8,4.1,14.8,8.9,14.8,9.0,3.1,0.7,2976.786,8274.456,1034.307,3733.596,2245.203,3733.596,2270.43,782.037,176.589
11,30071,2.8,917,2432,620,2263,431,2302,1882,694,595,643,512,686,677,1418,1920,3251,30010,41.2,85324,60081,10312,11,8.6,33.6,5.7,13.1,7.3,20.5,9.1,1.5,0.6,5166.966,20187.216,3424.617,7870.611,4385.913,12316.605,5467.371,901.215,360.486
12,45844,2.8,1423,3478,957,2485,1041,3379,1810,1249,1291,1031,1091,1058,888,2051,2911,4725,41432,41.0,77242,87276,10314,12,10.1,32.9,5.2,14.0,7.3,18.2,9.8,1.7,0.9,8814.876,28713.804,4538.352,12218.64,6371.148,15884.232,8553.048,1483.692,785.484
13,29212,2.7,1924,1351,1201,941,1163,661,738,1140,1282,1162,745,1071,826,1413,1744,2460,27046,43.2,46566,56258,11354,13,20.8,30.0,3.1,9.7,8.8,19.6,6.1,1.5,0.4,11701.664,16877.4,1743.998,5457.026,4950.704,11026.568,3431.738,843.87,225.032
14,43626,2.9,3151,1778,1620,1022,2038,809,734,1972,1667,1664,1559,1322,1227,2444,2473,2765,39595,40.9,41884,83221,11355,14,27.8,26.2,2.1,7.2,10.0,17.7,6.5,1.8,0.7,23135.438,21803.902,1747.641,5991.912,8322.1,14730.117,5409.365,1497.978,582.547
15,11555,3.0,350,663,163,253,257,439,334,522,271,269,305,440,495,811,891,1136,11482,37.2,58465,23037,11356,15,20.3,32.5,2.5,13.9,6.6,18.0,5.4,0.7,0.2,4676.511,7487.025,575.925,3202.143,1520.442,4146.66,1243.998,161.259,46.074
16,21794,2.7,409,1844,421,1301,667,1357,966,575,729,807,582,606,390,945,1682,1987,19078,43.9,71978,40872,11357,16,13.4,28.9,3.5,12.9,7.6,21.6,8.1,2.9,1.1,5476.848,11812.008,1430.52,5272.488,3106.272,8828.352,3310.632,1185.288,449.592
17,19564,2.9,828,1494,549,634,443,994,923,557,663,622,504,407,506,1043,1427,1801,18753,41.9,65722,38317,11358,17,16.3,24.8,3.1,11.9,7.1,23.4,10.4,2.1,0.9,6245.671,9502.616,1187.827,4559.723,2720.507,8966.178,3984.968,804.657,344.853
18,3186,2.1,28,30,38,2,55,8,1,35,33,36,55,40,29,31,30,33,2777,45.4,73237,5963,11359,18,7.3,16.4,4.8,13.6,5.5,30.2,15.6,5.5,1.1,435.299,977.932,286.224,810.968,327.965,1800.826,930.228,327.965,65.593
19,10306,2.3,529,975,168,693,368,932,763,368,202,242,417,308,216,598,846,1112,9559,48.2,76183,19865,11360,19,6.7,22.6,4.0,12.0,7.0,24.9,15.0,5.6,2.2,1330.955,4489.49,794.6,2383.8,1390.55,4946.385,2979.75,1112.44,437.03
20,16087,2.8,464,1183,415,838,541,1022,689,462,403,313,438,295,452,718,857,1683,14510,40.3,75335,30597,11361,20,11.9,23.9,3.0,13.0,6.6,25.2,11.8,2.5,2.2,3641.043,7312.683,917.91,3977.61,2019.402,7710.444,3610.446,764.925,673.134
21,9239,2.5,339,885,222,637,312,635,588,266,371,228,57,244,157,405,645,1044,8626,45.0,82332,17865,11362,21,9.2,18.3,2.9,12.0,5.0,31.1,14.9,4.5,2.3,1643.58,3269.295,518.085,2143.8,893.25,5556.015,2661.885,803.925,410.895
22,3526,2.8,55,352,49,140,30,264,341,107,84,127,15,123,58,148,212,513,3828,43.1,90799,7354,11363,22,6.3,17.9,3.4,9.1,9.6,33.1,13.0,5.5,2.0,463.302,1316.366,250.036,669.214,705.984,2434.174,956.02,404.47,147.08
23,17989,2.6,646,1602,497,864,583,1067,848,570,480,502,532,625,314,964,1048,2201,16762,42.9,72909,34751,11364,23,10.5,22.5,3.5,12.4,6.8,26.4,13.7,2.8,1.5,3648.855,7818.975,1216.285,4309.124,2363.068,9174.264,4760.887,973.028,521.265
24,22466,2.7,1394,1408,671,851,711,745,657,919,695,700,1020,406,463,1172,1468,2105,19458,41.7,55492,41924,11365,24,14.4,23.3,3.1,14.0,10.0,21.1,9.9,2.7,1.4,6037.056,9768.292,1299.644,5869.36,4192.4,8845.964,4150.476,1131.948,586.936
25,6908,3.1,368,445,168,319,127,451,357,161,131,188,127,165,114,268,458,499,6591,41.4,71350,13499,11366,25,12.8,19.8,3.1,11.7,7.5,27.9,13.3,2.3,1.7,1727.872,2672.802,418.469,1579.383,1012.425,3766.221,1795.367,310.477,229.483
26,21138,2.8,1162,1280,860,807,680,1011,553,864,715,544,512,646,525,988,1522,1836,19884,34.9,56608,41022,11367,26,13.3,22.9,2.5,10.3,8.8,24.6,12.8,3.4,1.4,5455.926,9394.038,1025.55,4225.266,3609.936,10091.412,5250.816,1394.748,574.308
27,49630,3.8,2162,2007,1573,765,1809,662,430,1775,2070,1455,1468,1527,1426,2465,2987,3737,58332,31.5,45964,107962,11368,27,39.8,30.1,2.5,9.8,6.0,8.7,2.0,0.9,0.3,42968.876,32496.562,2699.05,10580.276,6477.72,9392.694,2159.24,971.658,323.886
28,19898,3.5,734,887,415,592,624,482,260,695,472,755,769,395,625,801,1388,1502,20863,33.5,53617,40761,11369,28,25.6,36.6,2.7,12.8,5.6,11.2,4.2,1.1,0.1,10434.816,14918.526,1100.547,5217.408,2282.616,4565.232,1711.962,448.371,40.761
29,14870,3.2,698,645,403,465,486,537,351,469,436,342,425,492,361,767,743,1076,22374,34.9,52500,37244,11370,29,31.3,31.4,2.5,8.5,6.9,12.4,5.0,1.6,0.4,11657.372,11694.616,931.1,3165.74,2569.836,4618.256,1862.2,595.904,148.976
30,31586,2.6,1707,1809,1210,826,1751,695,672,1591,1017,2037,1113,1137,794,2161,2603,3097,31734,38.2,48683,63320,11372,30,24.7,24.9,4.2,9.6,7.4,19.1,7.6,1.4,1.1,15640.04,15766.68,2659.44,6078.72,4685.68,12094.12,4812.32,886.48,696.52
31,48601,3.1,2347,2206,1827,1029,1863,1143,975,2255,2033,1513,1741,1526,1411,3066,3312,3404,50558,36.2,47667,99159,11373,31,30.2,24.3,3.4,8.8,7.7,18.5,5.1,1.4,0.7,29946.018,24095.637,3371.406,8725.992,7635.243,18344.415,5057.109,1388.226,694.113
32,21939,2.2,1407,1671,1039,1068,828,1002,778,1154,894,1059,784,1059,834,1534,1595,2350,20358,40.6,52532,42297,11374,32,9.3,19.6,3.4,9.8,9.4,30.3,12.3,4.1,1.8,3933.621,8290.212,1438.098,4145.106,3975.918,12815.991,5202.531,1734.177,761.346
33,37313,2.1,1916,3222,1068,2258,1403,2907,2516,1222,1122,990,1026,1096,1245,2350,3364,4374,32444,42.1,72000,69757,11375,33,7.5,17.2,2.8,9.5,7.0,29.9,18.4,5.2,2.6,5231.775,11998.204,1953.196,6626.915,4882.99,20857.343,12835.288,3627.364,1813.682
34,43246,2.7,2080,2508,1477,1337,1758,1051,788,1531,1778,1941,1917,1748,1580,2684,3674,3680,43070,35.8,49886,86316,11377,34,25.1,24.3,3.2,9.6,9.2,20.2,6.7,1.2,0.6,21665.316,20974.788,2762.112,8286.336,7941.072,17435.832,5783.172,1035.792,517.896
35,16642,2.5,939,850,558,671,534,634,439,453,719,594,565,769,487,1025,1592,1790,15626,38.9,57474,32268,11378,35,17.7,35.0,5.0,12.0,8.1,15.3,5.3,1.1,0.5,5711.436,11293.8,1613.4,3872.16,2613.708,4937.004,1710.204,354.948,161.34
36,18574,2.6,751,1569,614,1026,575,959,807,492,601,700,430,525,462,888,1288,1961,17248,43.4,69843,35822,11379,36,15.8,31.4,6.3,9.6,6.5,19.1,8.9,1.6,0.7,5659.876,11248.108,2256.786,3438.912,2328.43,6842.002,3188.158,573.152,250.754
37,50368,2.9,2941,2950,1907,1437,2041,1376,953,2244,1654,1687,1650,1399,1497,2586,3443,4857,49011,35.0,50799,99379,11385,37,22.5,34.8,10.4,7.3,5.5,13.2,5.2,0.7,0.4,22360.275,34583.892,10335.416,7254.667,5465.845,13118.028,5167.708,695.653,397.516
38,10112,3.1,133,815,111,619,147,686,269,181,213,246,120,276,176,436,790,890,8610,44.3,83099,18722,11411,38,10.3,29.9,4.7,16.6,7.9,19.5,9.2,1.1,0.9,1928.366,5597.878,879.934,3107.852,1479.038,3650.79,1722.424,205.942,168.498
39,20616,3.4,522,1352,210,922,471,828,316,605,462,397,348,406,434,829,1214,1718,16560,39.1,70672,37176,11412,39,13.2,30.1,4.9,18.9,11.3,15.0,5.8,0.4,0.3,4907.232,11189.976,1821.624,7026.264,4200.888,5576.4,2156.208,148.704,111.528
40,22217,3.3,358,1573,399,1123,357,1176,611,472,429,314,337,514,454,858,1284,1855,18168,39.0,78667,40385,11413,40,14.2,27.6,6.1,16.8,9.4,16.7,7.8,0.9,0.6,5734.67,11146.26,2463.485,6784.68,3796.19,6744.295,3150.03,363.465,242.31
41,15183,2.5,403,1045,500,718,486,728,823,432,411,612,420,480,419,793,1057,1732,12911,45.1,66790,28094,11414,41,17.2,34.5,5.2,9.8,8.3,16.5,6.8,1.0,0.8,4832.168,9692.43,1460.888,2753.212,2331.802,4635.51,1910.392,280.94,224.752
