,postal_code,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,population,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
0,10280,2.3,4.4,1.5,8.3,4.1,42.1,22.3,8.8,6.2,8685,199.755,382.14,130.275,720.855,356.085,3656.385,1936.755,764.28,538.47
1,10301,15.8,26.7,3.8,13.1,7.4,18.7,10.9,2.8,0.8,38885,6143.83,10382.295,1477.63,5093.935,2877.49,7271.495,4238.465,1088.78,311.08
2,10302,19.1,34.3,5.7,13.8,6.2,14.1,5,1.2,0.7,16811,3210.901,5766.173,958.227,2319.918,1042.282,2370.351,840.55,201.732,117.677
3,10303,17.1,33.9,3.9,12.8,9.7,14.6,7,0.6,0.4,24537,4195.827,8318.043,956.943,3140.736,2380.089,3582.402,1717.59,147.222,98.148
4,10304,19.4,30.2,4.6,11.7,6.2,16,7.6,3.3,1.1,43084,8358.296,13011.368,1981.864,5040.828,2671.208,6893.44,3274.384,1421.772,473.924
5,10305,14.7,30.2,4.8,11.3,7.4,19.5,9.4,1.8,1,42006,6174.882,12685.812,2016.288,4746.678,3108.444,8191.17,3948.564,756.108,420.06
6,10306,9.7,32.2,5.8,14.2,8.5,17.7,8.5,2.3,1.1,55902,5422.494,18000.444,3242.316,7938.084,4751.67,9894.654,4751.67,1285.746,614.922
7,10307,8.3,27.9,5.1,16,10.7,18.3,10.6,2.4,0.8,14829,1230.807,4137.291,756.279,2372.64,1586.703,2713.707,1571.874,355.896,118.632
8,10308,8.8,37.8,5.3,13.2,7,16,10.1,1.5,0.2,28939,2546.632,10938.942,1533.767,3819.948,2025.73,4630.24,2922.839,434.085,57.878
9,10309,8.8,32.7,6.1,14.4,7,18.4,9.7,2.1,0.8,32646,2872.848,10675.242,1991.406,4701.024,2285.22,6006.864,3166.662,685.566,261.168
10,10310,11.8,32.8,4.1,14.8,8.9,14.8,9,3.1,0.7,25227,2976.786,8274.456,1034.307,3733.596,2245.203,3733.596,2270.43,782.037,176.589
11,10312,8.6,33.6,5.7,13.1,7.3,20.5,9.1,1.5,0.6,60081,5166.966,20187.216,3424.617,7870.611,4385.913,12316.605,5467.371,901.215,360.486
12,10314,10.1,32.9,5.2,14,7.3,18.2,9.8,1.7,0.9,87276,8814.876,28713.804,4538.352,12218.64,6371.148,15884.232,8553.048,1483.692,785.484
13,11354,20.8,30,3.1,9.7,8.8,19.6,6.1,1.5,0.4,56258,11701.664,16877.4,1743.998,5457.026,4950.704,11026.568,3431.738,843.87,225.032
14,11355,27.8,26.2,2.1,7.2,10,17.7,6.5,1.8,0.7,83221,23135.438,21803.902,1747.641,5991.912,8322.1,14730.117,5409.365,1497.978,582.547
15,11356,20.3,32.5,2.5,13.9,6.6,18,5.4,0.7,0.2,23037,4676.511,7487.025,575.925,3202.143,1520.442,4146.66,1243.998,161.259,46.074
16,11357,13.4,28.9,3.5,12.9,7.6,21.6,8.1,2.9,1.1,40872,5476.848,11812.008,1430.52,5272.488,3106.272,8828.352,3310.632,1185.288,449.592
17,11358,16.3,24.8,3.1,11.9,7.1,23.4,10.4,2.1,0.9,38317,6245.671,9502.616,1187.827,4559.723,2720.507,8966.178,3984.968,804.657,344.853
18,11359,7.3,16.4,4.8,13.6,5.5,30.2,15.6,5.5,1.1,5963,435.299,977.932,286.224,810.968,327.965,1800.826,930.228,327.965,65.593
19,11360,6.7,22.6,4,12,7,24.9,15,5.6,2.2,19865,1330.955,4489.49,794.6,2383.8,1390.55,4946.385,2979.75,1112.44,437.03
20,11361,11.9,23.9,3,13,6.6,25.2,11.8,2.5,2.2,30597,3641.043,7312.683,917.91,3977.61,2019.402,7710.444,3610.446,764.925,673.134
21,11362,9.2,18.3,2.9,12,5,31.1,14.9,4.5,2.3,17865,1643.58,3269.295,518.085,2143.8,893.25,5556.015,2661.885,803.925,410.895
22,11363,6.3,17.9,3.4,9.1,9.6,33.1,13,5.5,2,7354,463.302,1316.366,250.036,669.214,705.984,2434.174,956.02,404.47,147.08
23,11364,10.5,22.5,3.5,12.4,6.8,26.4,13.7,2.8,1.5,34751,3648.855,7818.975,1216.285,4309.124,2363.068,9174.264,4760.887,973.028,521.265
24,11365,14.4,23.3,3.1,14,10,21.1,9.9,2.7,1.4,41924,6037.056,9768.292,1299.644,5869.36,4192.4,8845.964,4150.476,1131.948,586.936
25,11366,12.8,19.8,3.1,11.7,7.5,27.9,13.3,2.3,1.7,13499,1727.872,2672.802,418.469,1579.383,1012.425,3766.221,1795.367,310.477,229.483
26,11367,13.3,22.9,2.5,10.3,8.8,24.6,12.8,3.4,1.4,41022,5455.926,9394.038,1025.55,4225.266,3609.936,10091.412,5250.816,1394.748,574.308
27,11368,39.8,30.1,2.5,9.8,6,8.7,2,0.9,0.3,107962,42968.876,32496.562,2699.05,10580.276,6477.72,9392.694,2159.24,971.658,323.886
28,11369,25.6,36.6,2.7,12.8,5.6,11.2,4.2,1.1,0.1,40761,10434.816,14918.526,1100.547,5217.408,2282.616,4565.232,1711.962,448.371,40.761
