,postal_code,Food_Services,Active_Life,Arts_and_Entertainment,Automotive,Beauty_and_Spas,Education,Event_Planning and Services,Financial_Services,Health_and_Medical,Home_Services,Hotels_and_Travel,Local_Services,Nightlife,Pets_Services,Professional_Services,Real_Estate,Restaurants,Shopping
0,10280,17.0,-2.0,1.0,0.0,6.0,1.0,2.0,1.0,6.0,3.0,5.0,3.0,9.0,-1.0,6.0,1.0,73.0,10.0
1,10301,9.0,-3.0,-3.0,7.0,13.0,1.0,3.0,1.0,-7.0,4.0,1.0,5.0,3.0,2.0,-2.0,2.0,14.0,19.0
2,10302,1.0,-1.0,-2.0,-6.0,3.0,2.0,-0.0,-2.0,1.0,-6.0,1.0,1.0,-1.0,-4.0,1.0,2.0,-11.0,-9.0
3,10303,8.0,1.0,3.0,-10.0,10.0,3.0,1.0,1.0,7.0,-12.0,5.0,6.0,-3.0,0.0,3.0,1.0,11.0,0.0
4,10304,1.0,-2.0,1.0,4.0,-5.0,-1.0,-2.0,1.0,-12.0,-1.0,3.0,1.0,-6.0,1.0,-4.0,-0.0,-4.0,-5.0
5,10305,0.0,0.0,-2.0,-3.0,3.0,0.0,-1.0,1.0,9.0,4.0,2.0,7.0,7.0,-1.0,5.0,3.0,-10.0,-3.0
6,10306,-9.0,-4.0,-1.0,1.0,-8.0,-4.0,-3.0,3.0,-2.0,-2.0,-0.0,-4.0,6.0,0.0,-0.0,1.0,-8.0,6.0
7,10307,2.0,3.0,-0.0,8.0,2.0,1.0,-1.0,0.0,8.0,1.0,2.0,3.0,-7.0,2.0,3.0,0.0,-7.0,0.0
8,10308,9.0,6.0,-0.0,-0.0,1.0,1.0,-5.0,2.0,16.0,1.0,4.0,0.0,4.0,3.0,-0.0,3.0,6.0,17.0
9,10309,-5.0,-9.0,1.0,-18.0,-6.0,-3.0,-7.0,-1.0,-4.0,-22.0,-1.0,-7.0,5.0,-5.0,-2.0,0.0,9.0,-11.0
10,10310,-4.0,-1.0,2.0,-12.0,-6.0,-0.0,-1.0,-1.0,-2.0,2.0,1.0,-2.0,-3.0,-1.0,-8.0,1.0,-6.0,3.0
11,10312,19.0,7.0,7.0,-0.0,10.0,-0.0,3.0,-1.0,-7.0,-3.0,6.0,2.0,12.0,-0.0,1.0,0.0,74.0,18.0
12,10314,1.0,1.0,1.0,6.0,-4.0,1.0,3.0,-2.0,-14.0,6.0,-7.0,-1.0,2.0,-1.0,-1.0,-1.0,3.0,-6.0
13,11354,-69.0,-2.0,-3.0,-5.0,-37.0,-1.0,-4.0,-1.0,-18.0,9.0,-6.0,-4.0,-14.0,-2.0,-11.0,0.0,-149.0,-49.0
14,11355,-2.0,3.0,-4.0,5.0,12.0,4.0,1.0,2.0,-1.0,6.0,2.0,3.0,-15.0,2.0,7.0,1.0,-48.0,28.0
15,11356,-3.0,-8.0,-1.0,-4.0,7.0,-1.0,-4.0,1.0,4.0,-8.0,-4.0,-1.0,-2.0,-1.0,-1.0,2.0,7.0,-5.0
16,11357,2.0,-2.0,-3.0,1.0,-7.0,-3.0,2.0,2.0,7.0,-3.0,-1.0,3.0,0.0,2.0,-0.0,1.0,29.0,9.0
17,11358,-13.0,-9.0,3.0,-14.0,-43.0,-3.0,-1.0,-5.0,-12.0,-10.0,2.0,-11.0,-8.0,-3.0,1.0,-4.0,-56.0,-26.0
18,11359,10.0,1.0,-3.0,2.0,3.0,-0.0,1.0,-0.0,0.0,0.0,3.0,3.0,3.0,-1.0,1.0,2.0,20.0,8.0
19,11360,9.0,-1.0,3.0,3.0,5.0,1.0,-1.0,-0.0,-11.0,1.0,3.0,4.0,2.0,1.0,3.0,-3.0,25.0,-15.0
20,11361,-24.0,-13.0,-2.0,-19.0,-42.0,-7.0,4.0,-6.0,-57.0,-13.0,-0.0,-15.0,3.0,-5.0,-10.0,-13.0,-39.0,-28.0
21,11362,10.0,-3.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-6.0,6.0,4.0,-2.0,8.0,-5.0,3.0,-2.0,19.0,4.0
22,11363,3.0,0.0,1.0,5.0,4.0,1.0,1.0,3.0,10.0,-0.0,0.0,2.0,2.0,-0.0,3.0,-1.0,16.0,6.0
23,11364,5.0,0.0,4.0,8.0,-1.0,-2.0,4.0,-0.0,-5.0,-2.0,4.0,-2.0,15.0,1.0,3.0,1.0,43.0,14.0
